PART NUMBER	DESCRIPTION  (optional)	 FOCAL LENGTH 	LENS DIAMETER	CLEAR APERTURE (optional)	NUMBER OF SURFACES	WAVELENGTH MICROMETERS (optional)	WAVELENGTH MICROMETERS (optional)	WAVELENGTH MICROMETERS (optional)	RADIUS 1 	THICK 1	GLASS 1	RADIUS 2	THICK 2	GLASS 2	RADIUS 3	THICK 3	GLASS 3	RADIUS 4	THICK 4	GLASS 4	RADIUS 5	THICK 5	GLASS 5	RADIUS 6	THICK 6	GLASS 6	RADIUS 7	THICK 7	GLASS 7	RADIUS 8	THICK 8	GLASS 8	
47721	Achromat	4,5	3		3				3,16	2	LAKN22	-2,23	1	SFL6	-7,88																		
45089	Achromat	6,00	3,00		3				4,13	1,97	BaFN10	-2,36	1,03	SF10	-21,70																		
45090	Achromat	9,00	3,00		3				5,26	1,47	BK7	-3,98	1,03	SF5	-12,05																		
45262	Achromat	12,00	3,00		3				7,39	1,68	BK7	-5,15	1,00	SF5	-14,62																		
45205	Achromat	8,00	4,00		3				5,76	1,50	BaFN10	-3,49	1,03	SF10	-26,05																		
45407	Achromat	7,50	5,00		3				5,56	3,72	BaFN10	-3,09	1,03	SF10	-18,25																		
45206	Achromat	10,00	5,00		3				7,17	1,73	BaFN10	-4,39	1,03	SF10	-33,96																		
45207	Achromat	15,00	5,00		3				10,67	1,55	BaFN10	-6,46	1,03	SF10	-53,57																		
45408	Achromat	20,00	5,00		3				14,11	1,61	BaFN10	-8,63	1,03	SF10	-75,59																		
45208	Achromat	10,00	6,25		3				6,98	3,06	BaFN10	-4,35	1,03	SF10	-41,01																		
32299	Achromat	12,50	6,25		3				8,63	3,00	BaFN10	-5,29	0,80	SF10	-51,17																		
32301	Achromat	15,00	6,25		3				7,95	2,70	SSKN8	-7,25	0,60	SF10	-277,83																		
32303	Achromat	20,00	6,25		3				12,30	2,70	BK7	-8,71	0,90	SF5	-24,98																		
32305	Achromat	25,00	6,25		3				15,37	2,30	BK7	-11,16	0,90	SF5	-32,17																		
45135	Achromat	30,00	6,25		3				18,11	2,30	BK7	-13,51	0,90	SF5	-39,29																		
32307	Achromat	35,00	6,25		3				23,14	2,30	BK7	-14,51	0,90	SF5	-38,86																		
45173	Achromat	40,00	6,25		3				25,05	2,30	BK7	-17,27	1,00	SF5	-49,33																		
45263	Achromat	50,00	6,25		3				30,77	2,00	BK7	-22,05	1,00	SF5	-64,60																		
45345	Achromat	60,00	6,25		3				37,16	2,30	BK7	-26,28	1,00	SF5	-76,48																		
45346	Achromat	12,00	9,00		3				8,37	5,00	BaFN10	-7,01	2,00	SF57	-26,18																		
45091	Achromat	18,00	9,00		3				12,37	4,32	BaFN10	-7,38	1,15	SF10	-73,86																		
45092	Achromat	27,00	9,00		3				15,36	3,89	BK7	-12,01	1,30	SF5	-39,56																		
45264	Achromat	36,00	9,00		3				22,16	2,50	BK7	-15,98	1,50	SF5	-46,14																		
45818	Achromat	40,00	9,00		3				24,77	3,73	BK7	-18,01	1,33	SF5	-51,17																		
45347	Achromat	45,00	9,00		3				27,83	3,00	BK7	-19,75	1,30	SF5	-57,06																		
45819	Achromat	60,00	9,00		3				36,51	3,50	BK7	-26,33	1,50	SF5	-78,35																		
45820	Achromat	75,00	9,00		3				46,44	3,00	BK7	-33,77	1,60	SF5	-95,94																		
45209	Achromat	14,00	12,50		3				10,60	6,23	BaFN10	-7,72	1,50	SF5	-56,54																		
32309	Achromat	20,00	12,50		3				13,98	5,25	BaFN11	-9,35	1,10	SF10	-76,14																		
32311	Achromat	25,00	12,50		3				17,27	5,00	BaFN10	-10,99	1,25	SF10	-107,03																		
32313	Achromat	30,00	12,50		3				15,97	4,50	SSKN8	-15,00	1,20	SF10	-528,23																		
45210	Achromat	35,00	12,50		3				22,94	3,68	SK11	-15,54	1,50	SF5	-58,84																		
32315	Achromat	40,00	12,50		3				24,77	3,73	BK7	-18,01	1,33	SF5	-51,17																		
45136	Achromat	45,00	12,50		3				26,82	3,50	BK7	-20,12	1,50	SF5	-61,38																		
32317	Achromat	50,00	12,50		3				30,73	3,50	BK7	-22,32	1,50	SF5	-64,75																		
45137	Achromat	60,00	12,50		3				36,51	3,50	BK7	-26,33	1,50	SF5	-78,35																		
32882	Achromat	75,00	12,50		3				46,44	3,00	BK7	-33,77	1,60	SF5	-95,94																		
45409	Achromat	80,00	12,50		3				49,62	2,10	BK7	-35,73	1,60	SF5	-103,22																		
45410	Achromat	90,00	12,50		3				55,80	1,98	BK7	-40,17	1,60	SF5	-116,32																		
45265	Achromat	100,00	12,50		3				61,54	3,00	BK7	-44,39	1,50	SF5	-130,26																		
45174	Achromat	25,00	15,00		3				17,97	6,27	BaFN11	-11,20	1,76	SF10	-85,31																		
32720	Achromat	30,00	15,00		3				20,72	6,00	BaFN10	-13,17	1,50	SF10	-128,44																		
45103	Achromat	40,00	15,00		3				26,97	5,98	BaFN10	-17,64	1,60	SF10	-205,03																		
45138	Achromat	50,00	15,00		3				26,81	5,00	BK7	-23,82	1,50	SF5	-90,79																		
45139	Achromat	75,00	15,00		3				39,61	5,00	BK7	-36,46	2,50	SF5	-145,02																		
45412	Achromat	27,00	18,00		3				18,70	7,67	BaFN10	-13,11	1,60	SF10	-119,12																		
45348	Achromat	30,00	18,00		3				20,73	6,91	BaFN10	-14,31	2,00	SF10	-133,58																		
45413	Achromat	35,00	18,00		3				24,26	6,01	BaFN10	-16,23	1,60	SF10	-152,99																		
45104	Achromat	40,00	18,00		3				26,97	5,98	BaFN10	-17,64	1,60	SF10	-205,03																		
32913	Achromat	50,00	18,00		3				27,12	5,00	SSKN8	-25,66	2,30	SF10	-538,70																		
45349	Achromat	60,00	18,00		3				42,51	3,85	BaFN10	-26,24	2,00	SF10	-226,77																		
45350	Achromat	75,00	18,00		3				53,03	3,27	BaFN10	-32,72	2,00	SF10	-288,05																		
32915	Achromat	80,00	18,00		3				49,67	5,00	BK7	-34,73	2,50	SF5	-100,11																		
45266	Achromat	125,00	18,00		3				76,92	4,50	BK7	-55,48	2,00	SF5	-162,59																		
45175	Achromat	30,00	20,00		3				21,41	8,40	BaFN11	-13,75	1,76	SF10	-105,58																		
45351	Achromat	35,00	20,00		3				24,24	7,33	BaFN11	-15,96	1,76	SF10	-139,78																		
32722	Achromat	40,00	20,00		3				27,63	8,00	BaFN10	-17,58	2,00	SF10	-171,25																		
45267	Achromat	60,00	20,00		3				35,92	5,00	BK7	-28,12	2,00	SF5	-83,79																		
45211	Achromat	30,00	25,00		3				21,17	11,04	BaFN10	-16,08	3,00	SF10	-118,66																		
32319	Achromat	35,00	25,00		3				24,47	11,00	BaFN11	-16,49	2,50	SF10	-131,65																		
32321	Achromat	40,00	25,00		3				27,97	9,50	BaFN11	-18,85	2,50	SF10	-152,94																		
45212	Achromat	45,00	25,00		3				28,75	7,89	SK11	-21,38	3,00	SF5	-82,92																		
